"File","Time","Period","Culture","Region","Modern Country","Source"
"idrimi.jpg","-1500:-1400","Mittani","Mittani","Mesopotamia/Levant","Lebanon","British Museum"
"indus1.jpg","-2200:-1900","Harappan","Indus","India-Pakistan","Pakistan","National Museum of Pakistan"
"indus2.jpg","-2200:-1900","Harappan","Indus","India-Pakistan","Pakistan","National Museum of Pakistan"
"indus3.jpg","-2500:-2000","Harappan","Indus","India-Pakistan","Pakistan","National Museum of Pakistan"
"khafaji3.jpg","-2800:-2600","Early Dynastic Period","Southern Mesopotamian","Mesopotamia","Iraq",
"levant_14-12_3.jpg","-1400:-1200","Late Bronze","Canaanite","Levant","Lebanon",
"levant_1400-1200BC_2.jpg","-1400:-1200","Late Bronze","Canaanite","Levant","Lebanon",
"levant_5-4c_23.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon",
"levant_5c_43.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"levant_6th_15.jpg","-600:-400","Achaemenid","Phoenician","Levant","Lebanon",
"levant_9c_10.jpg","-900:-800","Iron Age","Neo-Hittite","Levant","Lebanon",
"levant_9c_11.jpg","-900:-800","Iron Age","Neo-Hittite","Levant","Lebanon",
"Mari1a.jpg","-2500:-2300","Early Dynastic","Mari","Mesopotamia","Iraq",
"mari5.jpg","-2500:-2300","Early Dynastic","Mari","Mesopotamia","Iraq",
"mesopotamia_27_25_7.jpg","-2700:-2500","Early Dynastic","Akkadian","Mesopotamia","Iraq",
"neo_assyrian1.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"neo_assyrian2.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"neo_assyrian3.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"neo_assyrian4.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"neo_assyrian5.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"neo_assyrian6.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq",
"new_kingdom_egypt2.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt",
"old_kingdom.jpg","-2500:-2300","Old Kingdom","Egyptian","Egypt","Egypt",
"Palmyra25.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra26.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra30.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra33.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra38.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra39_male.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra46.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra47.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra48.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"Palmyra49.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq",
"phoenician_4_1.jpg","-400:-300","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_4_2.jpg","-400:-300","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_2.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_3.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_4_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_4_2.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phoenician_5_5_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon",
"phonecian_5_3c_5.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon",
"phonecian_5_3c_6.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon",
"ptolemaic_2.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt",
"ptolemaic_ruler2.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt",
"ptolemaic1.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt",
"ramsesII.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt",
"shami_statue_parthian.jpg","-200:200","Parthian","Parthian","Iran","Iran",
"sin_nippur_2600bc.jpg","-2600:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq",
"sm_22_7.jpg","-2300:-2100","Akkadian-Ur III","Sumerian","Mesopotamia","Iraq",
"sm_22_9.jpg","-2300:-2100","Akkadian-Ur III","Sumerian","Mesopotamia","Iraq",
"SM_22cbce_2.jpg","-2300:-2100","Akkadian-Ur III","Sumerian","Mesopotamia","Iraq",
"SM_22cbce_3.jpg","-2300:-2100","Akkadian-Ur III","Sumerian","Mesopotamia","Iraq",
"SM_22cbce_4.jpg","-2300:-2100","Akkadian-Ur III","Sumerian","Mesopotamia","Iraq",
"susa1.jpg","-1400:-1100","Late Bronze Age","Elamite","Iran","Iran",
"susa2.jpg","-1400:-1100","Late Bronze Age","Elamite","Iran","Iran",
"susa3.jpg","-2400:-2200","Old Elamite","Elamite","Iran","Iran",
"thutmosesIII-1.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt",
"urartu_8_7_2.jpg","-800:-700","Iron Age","Urartian","Anatolia","Turkey",
"Wasit63.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq",
